FID;Source;x_co;y_co;Scale;Species;Name;Area_ha;owner;Camp;Camp_1
0;GKM Gps;23,313688412800001;-33,6837997;GPS;C. intermedia; ;0,000000000000000; ; ; 
1;GKM Gps;24,116143517299999;-33,8391991;GPS;C. intermedia; ;0,000000000000000; ; ; 
2;GKM Gps;24,092206800000000;-33,8357010;GPS;C. intermedia; ;0,000000000000000; ; ; 
3;GKM Gps;24,088447800000001;-33,8354988;GPS;C. intermedia; ;0,000000000000000; ; ; 
4;GKM Gps;24,483676800000001;-33,6186981;GPS;C. intermedia; ;0,000000000000000; ; ; 
5;GKM Gps;24,482692300000000;-33,6184006;GPS;C. intermedia; ;0,000000000000000; ; ; 
6;GKM Gps;24,482537842599999;-33,6193008;GPS;C. intermedia; ;0,000000000000000; ; ; 
7;GKM Gps;20,720555000000001;-33,4972000;GPS;C. intermedia; ;0,000000000000000; ; ; 
8;GKM Gps;20,718859738599999;-33,4987984;GPS;C. intermedia; ;0,000000000000000; ; ; 
9;GKM Gps;24,490028165900000;-33,6106987;GPS;C. intermedia; ;0,000000000000000; ; ; 
10;GKM Gps;24,489643821000001;-33,6105995;GPS;C. intermedia; ;0,000000000000000; ; ; 
11;GKM Gps;24,501949797900000;-33,6041985;GPS;C. intermedia; ;0,000000000000000; ; ; 
12;GKM Gps;24,508421931800001;-33,5992012;GPS;C. intermedia; ;0,000000000000000; ; ; 
13;GKM Gps;24,514370584300000;-33,5965996;GPS;C. intermedia; ;0,000000000000000; ; ; 
14;GKM Gps;23,234184997500002;-33,7048988;GPS;C. intermedia; ;0,000000000000000; ; ; 
15;GKM Gps;23,284423157500001;-33,6981010;GPS;C. intermedia; ;0,000000000000000; ; ; 
16;GKM Gps;23,434975159899999;-33,6292000;GPS;C. intermedia; ;0,000000000000000; ; ; 
17;GKM Gps;23,442291246000000;-33,6184998;GPS;C. intermedia; ;0,000000000000000; ; ; 
18;GKM Gps;23,426551592900001;-33,6158981;GPS;C. intermedia; ;0,000000000000000; ; ; 
19;GKM Gps;23,836034890600001;-33,6949997;GPS;C. intermedia; ;0,000000000000000; ; ; 
20;GKM Gps;23,836826970800001;-33,6927986;GPS;C. intermedia; ;0,000000000000000; ; ; 
21;WVW Gps;23,856181027000002;-33,6959000;GPS;C. intermedia; ;0,000000000000000; ; ; 
22;WVW Gps;23,855897004700001;-33,6960983;GPS;C. intermedia; ;0,000000000000000; ; ; 
23;GKM Gps;23,685319891900001;-33,8615990;GPS;C. intermedia; ;0,000000000000000; ; ; 
24;GKM Gps;23,683802424400000;-33,8608017;GPS;C. intermedia; ;0,000000000000000; ; ; 
25;GKM Gps;23,839236856100001;-33,8787003;GPS;C. intermedia; ;0,000000000000000; ; ; 
26;GKM Gps;24,152362039000000;-33,7304001;GPS;C. intermedia; ;0,000000000000000; ; ; 
27;GKM Gps;24,154322017799998;-33,7299995;GPS;C. intermedia; ;0,000000000000000; ; ; 
28;GKM Gps;24,158662493600001;-33,7319984;GPS;C. intermedia; ;0,000000000000000; ; ; 
29;GKM Gps;24,156443120199999;-33,7099991;GPS;C. intermedia; ;0,000000000000000; ; ; 
30;GKM Gps;24,158059860400002;-33,7120018;GPS;C. intermedia; ;0,000000000000000; ; ; 
31;GKM Gps;23,783631271000001;-33,7683983;GPS;C. intermedia; ;0,000000000000000; ; ; 
32;GKM Gps;23,793804351700000;-33,7691994;GPS;C. intermedia; ;0,000000000000000; ; ; 
33;GKM Gps;23,783493330900001;-33,7733994;GPS;C. intermedia; ;0,000000000000000; ; ; 
34;GKM Gps;23,796873518400002;-33,7841988;GPS;C. intermedia; ;0,000000000000000; ; ; 
35;GKM Gps;23,794080231900001;-33,7792015;GPS;C. intermedia; ;0,000000000000000; ; ; 
36;GKM Gps;23,794873387300001;-33,7793999;GPS;C. intermedia; ;0,000000000000000; ; ; 
37;SANBI;24,197754070199998;-33,7657013;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
38;SANBI;24,201172735699998;-33,7605019;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
39;GKM Gps;24,202845990699998;-33,7591019;GPS;C. intermedia; ;0,000000000000000; ; ; 
40;GKM Gps;24,202039454400001;-33,7588005;GPS;C. intermedia; ;0,000000000000000; ; ; 
41;SANBI;21,613014661600001;-33,6786995;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
42;SANBI;21,374496204200000;-33,6255989;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
43;SANBI;22,900582303600000;-33,6250000;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
44;SANBI;22,900378143000001;-33,6244011;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
45;SANBI;22,904361724899999;-33,6225014;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
46;GKM Gps;22,092928304299999;-33,3642006;GPS;C. intermedia; ;0,000000000000000; ; ; 
47;GKM Gps;22,069788106200001;-33,3634987;GPS;C. intermedia; ;0,000000000000000; ; ; 
48;GKM Gps;22,054416403200001;-33,3541985;GPS;C. intermedia; ;0,000000000000000; ; ; 
49;GKM Gps;22,034227999999999;-33,3312988;GPS;C. intermedia; ;0,000000000000000; ; ; 
50;GKM Gps;22,038739000000000;-33,3278008;GPS;C. intermedia; ;0,000000000000000; ; ; 
51;SANBI;22,029287658900000;-33,3292007;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
52;SANBI;22,432883829600001;-33,3787994;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
53;SANBI;21,467893716199999;-33,3704987;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
54;GKM Gps;21,221741999999999;-33,9556007;GPS;C. intermedia; ;0,000000000000000; ; ; 
55;SANBI;20,991242475400000;-33,5555000;1:50 000;C. intermedia; ;0,000000000000000; ; ; 
56;GKM Gps;23,460993299999998;-33,7691994;GPS;C. intermedia; ;0,000000000000000; ; ; 
57;GKM Gps;23,461939300000001;-33,7728004;GPS;C. intermedia; ;0,000000000000000; ; ; 
58;GKM Gps;22,042293141199998;-33,3293991;GPS;C. intermedia; ;0,000000000000000; ; ; 
59;NG;22,759226425600001;-33,4094009;GPS;C. intermedia; ;0,000000000000000; ; ; 
60;NG;22,374645065100001;-33,3753014;GPS;C. intermedia; ;0,000000000000000; ; ; 
61;GKM Gps;23,159621179599998;-33,7574005;GPS;C. intermedia; ;0,000000000000000; ; ; 
