Year;January;Febuary;March;April;May;June;July;August;September;October ;November;December;Annual
2000;96.1;59.8;72;41.3;9.3;3.5;11.9;2.1;37.9;20.9;138.8;38.1;531.7
2001;69.1;32.2;22.6;35.5;6;30.2;70.3;40.8;53.2;14.2;53.7;36.2;464
2002;11.8;25;4.7;7.5;7.5;37.6;124.7;82;44.8;14.4;68.3;85.5;513.8
2003;27;4;225.4;20;64.7;21.5;39;9.4;17.5;23;14;16.7;482.2
2004;40.8;29.2;22.5;33;10;42.5;12;9;111;98.5;0;164.8;573.3
2005;12;50;54.7;74.5;50;13.5;7.5;6.5;15;19.5;57;35;395.2
2006;101;4;33;36;142.5;44.5;62.5;281.5;29;    56.0;31;52.5;817.5
2007;6.5;35.5;192.5;83;111.9;24.5;46;36.5;0;71.5;98.5;106;812.4
2008;57.5;73.8;42;59;12;26.9;6.6;29.6;2;83;69.4;0;461.8
2009;0;60;6.7;51.2;16;62.5;7.3;11;23.4;51;0;0;289.1
2010;28;38;52.5;52;16;120.5;30;29.5;16;95;28.5;96.5;602.5
2011;60.5;90;38;34;150;117;119;72;12.5;51;49;63;856
2012;39.5;55.5;60.5;42.5;22;98.5;167;46;38;204.6;19.5;55.5;849.1
2013;33;21.5;31.5;48;53.5;82;14.5;77;5.5;98;129;28;621.5
2014;33;43.5;57;104;24.5;22.5;22;25.5;46.5;66.5;58.5;61;564.5
2015;18;63;58.5;131.5;6;138;87;78;114;13;0;0;707
2016;0;42;83;13;16;29;70;17;54.5;0;41;0;365.5
2017;33.5;15.5;17.5;35;22.5;0;12;68;49.5;27.5;16;17;314
2018;92.5;20;35;43.5;23.3;8.5;38;29;238;56;79.5;19;682.3
2019;27.5;24.5;53.5;53;27.5;33;0;4.5;74.5;0;58;5;361
2020;78.5;51;28.5;15.5;66.5;37.5;33;81;25;107.5;50;46;620
2021;29.5;21.5;33.5;43;55;7;67;66;14;51.5;75.5;72.4;535.9
2022;0;0;0;0;0;0;0;0;0;0;0;0;650
2023;0;0;0;0;0;0;0;0;0;0;0;0;620.2
2024;0;0;0;0;0;0;0;0;0;0;0;0;573.3
2025;0;0;0;0;0;0;0;0;0;0;0;0;400.2
2026;0;0;0;0;0;0;0;0;0;0;0;0;800.5
2027;0;0;0;0;0;0;0;0;0;0;0;0;780.4
2028;0;0;0;0;0;0;0;0;0;0;0;0;421.8
2029;0;0;0;0;0;0;0;0;0;0;0;0;239.1
2030;0;0;0;0;0;0;0;0;0;0;0;0;580.5
2031;0;0;0;0;0;0;0;0;0;0;0;0;826
2032;0;0;0;0;0;0;0;0;0;0;0;0;819.1
2033;0;0;0;0;0;0;0;0;0;0;0;0;550.0
2034;0;0;0;0;0;0;0;0;0;0;0;0;534.5
2035;0;0;0;0;0;0;0;0;0;0;0;0;687
2036;0;0;0;0;0;0;0;0;0;0;0;0;310.5
2037;0;0;0;0;0;0;0;0;0;0;0;0;284
2038;0;0;0;0;0;0;0;0;0;0;0;0;644.3
2039;0;0;0;0;0;0;0;0;0;0;0;0;301
2040;0;0;0;0;0;0;0;0;0;0;0;0;520
